year,USA,RUS,GBR,FRA,CHN,IND,PAK,NK
1960,49,12,4,0,0,0,0,0
1961,1,13,6,0,0,0,0,0
1963,0,13,4,0,0,0,0,0
1965,0,3,0,0,0,0,0,0
1967,0,5,0,0,0,0,0,0
1968,0,1,0,0,0,0,0,0
1969,0,5,0,0,0,0,0,0
1970,0,4,0,0,0,0,0,0
1971,0,1,0,0,0,0,0,0
1972,0,1,0,0,0,0,0,0
1973,0,2,0,0,0,0,0,0
1974,0,1,0,0,0,0,0,0
1975,0,2,0,0,0,0,0,0
1977,0,4,0,0,0,0,0,0
1979,0,1,0,0,0,0,0,0
1980,0,1,0,0,0,0,0,0
1981,0,2,0,0,0,0,0,0
1983,0,4,0,0,0,0,0,0
1984,0,2,0,0,0,0,0,0
1987,0,4,0,0,0,0,0,0
1989,0,2,0,0,0,0,0,0
1993,0,0,0,0,1,0,0,0
1995,0,1,0,0,1,0,0,0
1997,2,0,0,0,0,0,0,0
1998,3,5,0,0,0,0,0,0
1999,3,7,0,0,1,0,0,0
2000,5,5,0,0,0,0,0,0
2001,2,0,0,0,4,0,0,0
2002,3,0,1,0,0,0,0,0
2003,2,0,0,0,0,0,0,0
2006,1,0,1,0,0,0,0,0
