year,country,location,tests
1960,2,3,12
1961,2,1,58
1961,2,3,13
1961,2,2,1
1962,2,1,78
1962,2,2,1
1963,2,3,13
1964,2,2,9
1965,2,3,3
1965,2,2,14
1966,2,2,18
1967,2,3,5
1967,2,2,17
1968,2,3,1
1968,2,2,17
1969,2,3,5
1969,2,2,19
1970,2,3,4
1970,2,2,16
1971,2,3,1
1971,2,2,23
1972,2,3,1
1972,2,2,24
1973,2,3,2
1973,2,2,17
1974,2,3,1
1974,2,2,21
1975,2,3,2
1975,2,2,19
1976,2,2,21
1977,2,3,4
1977,2,2,24
1978,2,2,31
1979,2,3,1
1979,2,2,31
1980,2,3,1
1980,2,2,24
1981,2,3,2
1981,2,2,21
1982,2,2,19
1983,2,3,4
1983,2,2,25
1984,2,3,2
1984,2,2,27
1985,2,2,10
1987,2,3,4
1987,2,2,23
1988,2,2,16
1989,2,3,2
1989,2,2,7
1990,2,2,1
1995,2,3,1
1998,2,3,5
1999,2,3,7
