year,country,location,tests
1960,1,3,49
1961,1,3,1
1961,1,2,10
1962,1,1,39
1962,1,2,57
1963,1,1,4
1963,1,2,43
1964,1,2,45
1965,1,2,38
1966,1,2,48
1967,1,2,42
1968,1,2,56
1969,1,2,46
1970,1,2,39
1971,1,2,24
1972,1,2,27
1973,1,2,24
1974,1,2,22
1975,1,2,22
1976,1,2,20
1977,1,2,20
1978,1,2,19
1979,1,2,15
1980,1,2,14
1981,1,2,16
1982,1,2,18
1983,1,2,18
1984,1,2,18
1985,1,2,17
1986,1,2,14
1987,1,2,14
1988,1,2,15
1989,1,2,11
1990,1,2,8
1991,1,2,7
1992,1,2,6
1997,1,3,2
1998,1,3,3
1999,1,3,3
2000,1,3,5
2001,1,3,2
2002,1,3,3
2003,1,3,2
2006,1,3,1
