year,country,location,tests
1945,1,1,1
1946,1,1,2
1948,1,1,3
1949,2,1,1
1951,2,1,2
1951,1,1,15
1951,1,2,1
1952,3,1,1
1952,1,1,10
1953,2,1,5
1953,3,1,2
1953,1,1,11
1954,2,1,10
1954,1,1,6
1955,2,1,6
1955,1,1,17
1955,1,2,1
1956,2,1,9
1956,3,1,6
1956,1,1,18
1957,2,1,16
1957,3,1,7
1957,1,1,27
1957,1,2,5
1958,2,1,34
1958,2,3,2
1958,3,1,5
1958,1,1,62
1958,1,2,15
1960,4,1,3
1960,2,3,12
1960,3,3,4
1960,1,3,49
1961,4,1,1
1961,4,2,1
1961,2,1,58
1961,2,3,13
1961,2,2,1
1961,3,3,6
1961,1,3,1
1961,1,2,10
1962,4,2,1
1962,2,1,78
1962,2,2,1
1962,3,2,2
1962,1,1,39
1962,1,2,57
1963,4,2,3
1963,2,3,13
1963,3,3,4
1963,1,1,4
1963,1,2,43
1964,5,1,1
1964,4,2,3
1964,2,2,9
1964,3,2,2
1964,1,2,45
1965,5,1,1
1965,4,2,4
1965,2,3,3
1965,2,2,14
1965,3,2,1
1965,1,2,38
1966,5,1,3
1966,4,1,6
1966,4,2,1
1966,2,2,18
1966,1,2,48
1967,5,1,2
1967,4,1,3
1967,2,3,5
1967,2,2,17
1967,1,2,42
1968,5,1,1
1968,4,1,5
1968,2,3,1
1968,2,2,17
1968,1,2,56
1969,5,1,1
1969,5,2,1
1969,2,3,5
1969,2,2,19
1969,1,2,46
1970,5,1,1
1970,4,1,8
1970,2,3,4
1970,2,2,16
1970,1,2,39
1971,5,1,1
1971,4,1,5
1971,2,3,1
1971,2,2,23
1971,1,2,24
1972,5,1,2
1972,4,1,4
1972,2,3,1
1972,2,2,24
1972,1,2,27
1973,5,1,1
1973,4,1,6
1973,2,3,2
1973,2,2,17
1973,1,2,24
1974,5,1,1
1974,4,1,9
1974,6,2,1
1974,2,3,1
1974,2,2,21
1974,3,2,1
1974,1,2,22
1975,5,2,1
1975,4,2,2
1975,2,3,2
1975,2,2,19
1975,1,2,22
1976,5,1,3
1976,5,2,1
1976,4,2,5
1976,2,2,21
1976,3,2,1
1976,1,2,20
1977,5,1,1
1977,4,2,9
1977,2,3,4
1977,2,2,24
1977,1,2,20
1978,5,1,2
1978,5,2,1
1978,4,2,11
1978,2,2,31
1978,3,2,2
1978,1,2,19
1979,5,1,1
1979,4,2,10
1979,2,3,1
1979,2,2,31
1979,3,2,1
1979,1,2,15
1980,5,1,1
1980,4,2,12
1980,2,3,1
1980,2,2,24
1980,3,2,3
1980,1,2,14
1981,4,2,12
1981,2,3,2
1981,2,2,21
1981,3,2,1
1981,1,2,16
1982,5,2,1
1982,4,2,10
1982,2,2,19
1982,3,2,1
1982,1,2,18
1983,5,2,2
1983,4,2,9
1983,2,3,4
1983,2,2,25
1983,3,2,1
1983,1,2,18
1984,5,2,2
1984,4,2,8
1984,2,3,2
1984,2,2,27
1984,3,2,2
1984,1,2,18
1985,4,2,8
1985,2,2,10
1985,3,2,1
1985,1,2,17
1986,4,2,8
1986,3,2,1
1986,1,2,14
1987,5,2,1
1987,4,2,8
1987,2,3,4
1987,2,2,23
1987,3,2,1
1987,1,2,14
1988,5,2,1
1988,4,2,8
1988,2,2,16
1988,1,2,15
1989,4,2,9
1989,2,3,2
1989,2,2,7
1989,3,2,1
1989,1,2,11
1990,5,2,2
1990,4,2,6
1990,2,2,1
1990,3,2,1
1990,1,2,8
1991,4,2,6
1991,3,2,1
1991,1,2,7
1992,5,2,2
1992,1,2,6
1993,5,3,1
1993,5,2,1
1994,5,2,2
1995,5,3,1
1995,5,2,2
1995,4,2,5
1995,2,3,1
1996,5,2,2
1996,4,2,1
1997,1,3,2
1998,6,2,2
1998,7,2,2
1998,2,3,5
1998,1,3,3
1999,5,3,1
1999,2,3,7
1999,1,3,3
2000,2,3,5
2000,1,3,5
2001,5,3,4
2001,1,3,2
2002,3,3,1
2002,1,3,3
2003,1,3,2
2006,8,2,1
2006,3,3,1
2006,1,3,1
2009,8,2,1
2013,8,2,1
2016,8,2,2
2017,8,2,1
