year,USA,RUS,GBR,FRA,CHN,IND,PAK,NK
1960,8.619592573,0,6.343041412,6.462674581,0,2.004012346,4.312662619,0
1961,8.775733101,0,6.190022143,6.304481389,0,2.074359721,4.097890641,0
1962,8.944079228,0,6.210393713,6.141695391,0,2.745400433,3.655872773,0
1963,8.465056048,0,6.082126186,5.643126302,0,4.025306026,3.648412975,0
1964,7.716868831,0,5.899067585,5.405219911,0,3.81923698,3.865890131,0
1965,7.206952894,0,5.756799452,5.23267819,0,3.871414914,5.904667889,0
1966,8.0708414,0,5.588717004,5.107417053,0,3.572370646,6.730521985,0
1967,9.063367169,0,5.576792793,5.113539464,0,3.223923721,5.404603702,0
1968,8.873110952,0,5.313323755,4.924962559,0,3.245568585,5.103905995,0
1969,8.272944284,0,4.920792648,4.380786549,0,3.140814558,5.512041885,0
1970,7.689700005,0,4.648215827,4.117452549,0,3.18518304,6.158387622,0
1971,6.643475174,0,4.539927703,3.94784673,0,3.652453524,6.735533238,0
1972,6.271831327,0,4.624636318,3.845714589,0,3.717947461,6.865955511,0
1973,5.668750181,0,4.387739522,3.742633697,0,3.158643767,6.210642727,0
1974,5.729167361,0,4.533753671,3.674442839,0,3.202826324,6.090996314,0
1975,5.397912888,0,4.775381152,3.80623827,0,3.534598781,6.321520245,0
1976,4.988161659,0,4.628621089,3.7574203,0,3.477883143,5.889471993,0
1977,4.971381002,0,4.403047422,3.847219419,0,3.162771937,5.547411678,0
1978,4.762811989,0,4.232914485,3.75188172,0,3.126331702,5.503299663,0
1979,4.772422137,0,4.185259512,3.737486209,0,3.261328658,5.453274295,0
1980,4.956368918,0,4.489463054,3.756307768,0,3.13378133,5.523244467,0
1981,5.433199546,0,4.457141795,3.864558028,0,3.186248122,5.710870576,0
1982,6.566682446,0,4.812695462,3.838017389,0,3.345117666,6.375717087,0
1983,6.043852204,0,4.826610444,3.85384243,0,3.32306866,6.643798059,0
1984,5.888148606,0,4.926054775,3.794599576,0,3.416875594,6.659491457,0
1985,6.121309408,0,4.758479322,3.742887987,0,3.569030278,6.922133598,0
1986,6.302732032,0,4.525165058,3.673638571,0,4.106468681,6.991656011,0
1987,6.083946499,0,4.191440132,3.714933353,0,4.231317527,6.971880084,0
1988,5.746437065,0,3.768974595,3.527700432,0,3.728671783,6.785810731,0
1989,5.546850488,0,3.613956986,3.428595953,2.480186641,3.534179728,6.532725256,0
1990,5.278319875,0,3.562321232,3.339703219,2.493258303,3.243269383,6.522320235,0
1991,4.572179865,0,3.681790403,3.347880617,2.346909609,3.002445952,6.570952788,0
1992,4.666263973,4.902386117,3.456342889,3.203262374,2.484758572,2.799444125,6.698187549,0
1993,4.326936776,4.631472606,3.211234729,3.201921972,1.961907272,2.929142129,6.427312623,0
1994,3.941278765,4.898554695,3.024573401,3.167206841,1.724967688,2.751026887,5.923548293,0
1995,3.63847027,4.066510417,2.593898734,2.967345243,1.716336642,2.654022034,5.820225283,0
1996,3.350744426,4.060533636,2.475893157,2.874458874,1.686051138,2.545692432,5.628229087,0
1997,3.209908811,4.340721123,2.321071944,2.827952381,1.674802087,2.726156722,5.346650999,0
1998,3.017625314,3.001187205,2.270791425,2.65032647,1.703300374,2.808572693,5.163725717,0
1999,2.908401135,3.302079404,2.206241646,2.592746984,1.922053121,3.064891088,4.508824879,0
2000,2.933426027,3.553169553,2.155777374,2.471010965,1.892938442,3.0542772,3.969644045,0
2001,2.944350298,3.793354672,2.190259465,2.407503679,2.081184198,2.933794441,4.063476584,0
2002,3.24955591,4.054896605,2.256573135,2.426268254,2.185412706,2.833196676,4.191546155,0
2003,3.607278445,3.922355406,2.314078888,2.484613158,2.115686315,2.681176222,4.088917797,0
2004,3.785578701,3.526199897,2.259030374,2.495382169,2.063710599,2.82875261,3.961987979,0
2005,3.844238069,3.557301029,2.198926824,2.400989177,2.00873489,2.754906765,3.866036866,0
2006,3.80819723,3.48466522,2.146215009,2.344886085,2.01072345,2.526806234,3.675699027,0
