,country,Values,,,,,,,,,,,,,,
,USA,,RUS,,PAK,,NK,,IND,,GBR,,FRA,,CHN,
year,SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $),SUM of % of GDP,SUM of spending (in $)
1960,8.619592573,"212,595,434,800",,,4.312662619,"956,515,489",,,2.004012346,"2,717,038,054",6.343041412,"21,705,792,450",6.462674581,"18,256,597,830",,
1961,8.775733101,"221,561,806,500",,,4.097890641,"954,030,086",,,2.074359721,"2,957,554,441",6.190022143,"22,204,091,160",6.304481389,"19,133,359,830",,
1962,8.944079228,"239,769,745,400",,,3.655872773,"899,187,904",,,2.745400433,"4,165,303,495",6.210393713,"23,311,148,880",6.141695391,"20,677,966,540",,
1963,8.465056048,"236,729,585,700",,,3.648412975,"974,088,114",,,4.025306026,"6,926,255,295",6.082126186,"23,718,494,660",5.643126302,"21,141,141,580",,
1964,7.716868831,"228,297,943,700",,,3.865890131,"1,123,756,365",,,3.81923698,"7,531,227,602",5.899067585,"24,931,831,760",5.405219911,"22,130,444,850",,
1965,7.206952894,"226,957,951,100",,,5.904667889,"1,876,515,919",,,3.871414914,"7,900,720,925",5.756799452,"25,541,942,050",5.23267819,"22,630,065,030",,
1966,8.0708414,"287,752,006,200",,,6.730521985,"2,293,077,563",,,3.572370646,"8,275,212,327",5.588717004,"25,689,097,410",5.107417053,"23,191,776,050",,
1967,9.063367169,"312,199,935,300",,,5.404603702,"1,929,032,950",,,3.223923721,"5,207,935,033",5.576792793,"26,270,485,790",5.113539464,"24,338,084,550",,
1968,8.873110952,"320,462,602,000",,,5.103905995,"1,918,210,731",,,3.245568585,"5,349,068,296",5.313323755,"22,273,301,990",4.924962559,"23,407,667,030",,
1969,8.272944284,"308,207,622,000",,,5.512041885,"2,041,214,207",,,3.140814558,"5,391,533,156",4.920792648,"20,774,728,590",4.380786549,"21,800,809,540",,
1970,7.689700005,"279,651,324,500",,,6.158387622,"2,160,746,162",,,3.18518304,"5,418,142,795",4.648215827,"21,079,894,550",4.117452549,"21,318,769,730",,
1971,6.643475174,"256,075,571,400",,,6.735533238,"2,487,537,024",,,3.652453524,"6,584,072,302",4.539927703,"23,443,263,280",3.94784673,"21,539,556,800",,
1972,6.271831327,"254,517,922,700",,,6.865955511,"1,497,033,122",,,3.717947461,"6,995,468,002",4.624636318,"26,721,162,670",3.845714589,"24,690,487,370",,
1973,5.668750181,"243,695,810,600",,,6.210642727,"1,460,533,333",,,3.158643767,"6,721,085,997",4.387739522,"26,774,563,510",3.742633697,"29,514,875,250",,
