SUM of % of GDP,country,,,,,,,
year,USA,RUS,PAK,NK,IND,GBR,FRA,CHN
1960,8.619592573,,4.312662619,,2.004012346,6.343041412,6.462674581,
1961,8.775733101,,4.097890641,,2.074359721,6.190022143,6.304481389,
1962,8.944079228,,3.655872773,,2.745400433,6.210393713,6.141695391,
1963,8.465056048,,3.648412975,,4.025306026,6.082126186,5.643126302,
1964,7.716868831,,3.865890131,,3.81923698,5.899067585,5.405219911,
1965,7.206952894,,5.904667889,,3.871414914,5.756799452,5.23267819,
1966,8.0708414,,6.730521985,,3.572370646,5.588717004,5.107417053,
1967,9.063367169,,5.404603702,,3.223923721,5.576792793,5.113539464,
1968,8.873110952,,5.103905995,,3.245568585,5.313323755,4.924962559,
1969,8.272944284,,5.512041885,,3.140814558,4.920792648,4.380786549,
1970,7.689700005,,6.158387622,,3.18518304,4.648215827,4.117452549,
1971,6.643475174,,6.735533238,,3.652453524,4.539927703,3.94784673,
1972,6.271831327,,6.865955511,,3.717947461,4.624636318,3.845714589,
1973,5.668750181,,6.210642727,,3.158643767,4.387739522,3.742633697,
1974,5.729167361,,6.090996314,,3.202826324,4.533753671,3.674442839,
1975,5.397912888,,6.321520245,,3.534598781,4.775381152,3.80623827,
1976,4.988161659,,5.889471993,,3.477883143,4.628621089,3.7574203,
1977,4.971381002,,5.547411678,,3.162771937,4.403047422,3.847219419,
1978,4.762811989,,5.503299663,,3.126331702,4.232914485,3.75188172,
1979,4.772422137,,5.453274295,,3.261328658,4.185259512,3.737486209,
1980,4.956368918,,5.523244467,,3.13378133,4.489463054,3.756307768,
1981,5.433199546,,5.710870576,,3.186248122,4.457141795,3.864558028,
1982,6.566682446,,6.375717087,,3.345117666,4.812695462,3.838017389,
1983,6.043852204,,6.643798059,,3.32306866,4.826610444,3.85384243,
1984,5.888148606,,6.659491457,,3.416875594,4.926054775,3.794599576,
1985,6.121309408,,6.922133598,,3.569030278,4.758479322,3.742887987,
1986,6.302732032,,6.991656011,,4.106468681,4.525165058,3.673638571,
1987,6.083946499,,6.971880084,,4.231317527,4.191440132,3.714933353,
1988,5.746437065,,6.785810731,,3.728671783,3.768974595,3.527700432,
1989,5.546850488,,6.532725256,,3.534179728,3.613956986,3.428595953,2.480186641
1990,5.278319875,,6.522320235,,3.243269383,3.562321232,3.339703219,2.493258303
1991,4.572179865,,6.570952788,,3.002445952,3.681790403,3.347880617,2.346909609
1992,4.666263973,4.902386117,6.698187549,,2.799444125,3.456342889,3.203262374,2.484758572
1993,4.326936776,4.631472606,6.427312623,,2.929142129,3.211234729,3.201921972,1.961907272
1994,3.941278765,4.898554695,5.923548293,,2.751026887,3.024573401,3.167206841,1.724967688
1995,3.63847027,4.066510417,5.820225283,,2.654022034,2.593898734,2.967345243,1.716336642
1996,3.350744426,4.060533636,5.628229087,,2.545692432,2.475893157,2.874458874,1.686051138
1997,3.209908811,4.340721123,5.346650999,,2.726156722,2.321071944,2.827952381,1.674802087
1998,3.017625314,3.001187205,5.163725717,,2.808572693,2.270791425,2.65032647,1.703300374
1999,2.908401135,3.302079404,4.508824879,,3.064891088,2.206241646,2.592746984,1.922053121
2000,2.933426027,3.553169553,3.969644045,,3.0542772,2.155777374,2.471010965,1.892938442
2001,2.944350298,3.793354672,4.063476584,,2.933794441,2.190259465,2.407503679,2.081184198
2002,3.24955591,4.054896605,4.191546155,,2.833196676,2.256573135,2.426268254,2.185412706
2003,3.607278445,3.922355406,4.088917797,,2.681176222,2.314078888,2.484613158,2.115686315
2004,3.785578701,3.526199897,3.961987979,,2.82875261,2.259030374,2.495382169,2.063710599
2005,3.844238069,3.557301029,3.866036866,,2.754906765,2.198926824,2.400989177,2.00873489
2006,3.80819723,3.48466522,3.675699027,,2.526806234,2.146215009,2.344886085,2.01072345
2007,3.847053379,3.388153704,3.430992382,,2.34263368,2.154171756,2.275462951,1.914648989
2018,,,,22,,,,
