date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/21/19,11:40:28 PM,.png,739x1600,,work related,saved
11/21/19,11:40:22 PM,.jpg,2021x1515,,work related,saved
11/21/19,11:40:16 PM,.jpg,1024x1820,,work related,saved
11/21/19,11:40:10 PM,.jpg,1080x720,,"selfie, pets",saved
11/21/19,11:40:08 PM,.jpg,2032x1524,,work related,saved
11/21/19,11:40:02 PM,.jpg,2800x1518,,work related,saved
11/21/19,11:40:02 PM,.jpg,2030x1522,,work related,saved
11/21/19,11:40:02 PM,.jpg,2004x1502,,work related,saved
11/21/19,11:39:58 PM,.jpg,2880x1522,,work related,saved
11/21/19,11:39:58 PM,.jpg,2880x1522,,work related,saved
11/21/19,11:39:56 PM,.jpg,2028x1520,,work related,saved
11/21/19,11:39:56 PM,.jpg,2018x1514,,work related,saved
11/21/19,11:39:56 PM,.jpg,2040x1530,,work related,saved
11/21/19,11:39:50 PM,.jpg,2048x2048,,work related,saved
11/21/19,11:39:46 PM,.jpg,2026x1520,,work related,saved
11/21/19,11:39:46 PM,.jpg,2158x1522,,work related,saved
11/21/19,11:39:42 PM,.jpg,2045x1534,,work related,saved
11/21/19,11:39:24 PM,.jpg,2024x1518,,work related,saved
11/21/19,11:39:12 PM,.jpg,2018x1514,,work related,saved
11/21/19,11:39:08 PM,.jpg,2034x1526,,work related,saved
11/21/19,11:39:02 PM,.jpg,2028x1520,,work related,saved
11/21/19,11:38:58 PM,.jpg,2158x1522,,work related,saved
11/21/19,11:38:56 PM,.jpg,2880x1522,,work related,saved
11/21/19,11:38:56 PM,.jpg,1024x1820,,pets,taken by phone
11/21/19,11:38:52 PM,.jpg,2156x1518,,work related,saved
11/21/19,11:38:52 PM,.jpg,1080x720,,"selfie, pets",saved
11/21/19,11:38:48 PM,.jpg,2041x1530,,work related,saved
11/18/19,10:41:26 PM,.png,1242x2208,,work related,screenshot
11/18/19,5:23:13 PM,.heic,3024x4032,iphone 8 plus,selfie,taken by phone
11/18/19,5:23:08 PM,.heic,3024x4032,iphone 8 plus,of a thing,taken by phone
11/18/19,5:23:07 PM,.heic,3024x4032,iphone 8 plus,of a thing,taken by phone
11/18/19,5:23:04 PM,.heic,3024x4032,iphone 8 plus,selfie,taken by phone
11/18/19,4:44:59 PM,.heic,4032x3024,iphone 8 plus,of a thing,taken by phone
11/18/19,4:44:04 PM,.heic,3024x4032,iphone 8 plus,of a thing,taken by phone
11/18/19,3:56:18 PM,.jpg,3024x4032,iphone 8 plus,pets,taken by phone
11/18/19,2:04:21 PM,.heic,4032x3024,iphone 8 plus,of someone else,taken by phone
11/18/19,2:03:45 PM,.heic,4032x3024,iphone 8 plus,of someone else,taken by phone
11/18/19,1:38:51 PM,.heic,3024x4032,iphone 8 plus,of someone else,taken by phone
11/18/19,1:15:32 PM,.heic,3024x4032,iphone 8 plus,of someone else,taken by phone
11/18/19,8:55:42 AM,.heic,4032x3024,iphone 8 plus,of someone else,taken by phone
11/17/19,9:35:06 PM,.png,1242x2208,,memes,screenshot
11/17/19,8:21:46 PM,.mov,720x1280,,of someone else,taken by phone
11/17/19,2:06:39 PM,.heic,3024x4032,iphone 8 plus,of a thing,taken by phone
11/17/19,2:06:37 PM,.jpg,2873x3831,iphone 8 plus,of a thing,taken by phone
