date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/20/19,2:33:20 PM,.heic,3024x4032,iphone 8,pets,taken by phone
11/20/19,2:33:18 PM,.heic,3024x4032,iphone 8,pets,taken by phone
11/20/19,2:33:16 PM,.heic,3024x4032,iphone 8,pets,taken by phone
11/20/19,2:33:13 PM,.heic,3024x4032,iphone 8,pets,taken by phone
11/20/19,2:33:12 PM,.heic,3024x4032,iphone 8,pets,taken by phone
11/20/19,1:09:10 PM,.png,750x1334,,memes,screenshot
11/20/19,1:09:03 PM,.png,750x1334,,memes,screenshot
11/20/19,1:13:23 AM,.jpg,640x517,,memes,screenshot
11/20/19,1:13:20 AM,.jpg,640x517,,memes,screenshot
11/20/19,1:13:23 AM,.jpg,540x436,,memes,screenshot
11/20/19,1:13:17 AM,.jpg,640x516,,memes,screenshot
11/20/19,1:13:12 AM,.jpg,1280x1034,,memes,screenshot
11/20/19,1:13:09 AM,.jpg,640x517,,memes,screenshot
11/20/19,1:13:06 AM,.jpg,400x323,,memes,screenshot
11/20/19,1:13:03 AM,.jpg,400x323,,memes,screenshot
11/20/19,1:13:01 AM,.jpg,640x517,,memes,screenshot
11/20/19,1:12:58 AM,.jpg,640x517,,memes,screenshot
11/20/19,1:12:55 AM,.jpg,640x517,,memes,screenshot
11/19/19,6:21:20 PM,.jpg,902x904,,memes,screenshot
11/19/19,6:14:26 PM,.jpg,912x600,,misc,screenshot
11/19/19,6:14:22 PM,.jpg,721x960,,misc,screenshot
11/19/19,2:08:55 PM,.png,750x1334,,memes,screenshot
11/18/19,11:29:55 AM,.heic,3024x4032,iphone 8,something to remember,taken by phone
11/18/19,11:29:50 AM,.heic,3024x4032,iphone 8,something to remember,taken by phone
11/18/19,11:29:47 AM,.heic,3024x4032,iphone 8,something to remember,taken by phone
11/18/19,11:29:44 AM,.heic,3024x4032,iphone 8,something to remember,taken by phone
11/18/19,11:29:41 AM,.heic,3024x4032,iphone 8,something to remember,taken by phone
11/18/19,11:29:17 AM,.heic,3024x4032,iphone 8,something to remember,taken by phone
11/17/19,9:46:47 PM,.jpg,767x960,,memes,screenshot
11/17/19,9:45:53 PM,.jpg,500x498,,memes,screenshot
11/17/19,7:04:16 PM,.jpg,640x860,,memes,screenshot
11/17/19,6:48:32 PM,.jpg,720x381,,memes,screenshot
11/17/19,6:31:51 PM,.jpg,960x820,,memes,screenshot
11/17/19,9:50:12 PM,.png,750x1334,,something to remember,screenshot
11/17/19,9:46:44 PM,.png,750x1334,,misc,screenshot
11/17/19,3:30:08 PM,.jpg,675x844,,memes,screenshot
11/17/19,2:41:54 PM,.jpg,1242x1884,,memes,screenshot
11/17/19,12:07:54 PM,.jpg,936x960,,memes,screenshot
11/17/19,12:01:53 PM,.jpg,479x602,,memes,screenshot
11/17/19,11:55:34 AM,.jpg,1340x914,,something to remember,screenshot
11/17/19,12:38:43 PM,.png,750x1334,,something to remember,screenshot
11/17/19,2:54:06 AM,.jpg,480x623,,misc,saved
11/17/19,2:22:07 AM,.jpg,714x780,,misc,saved
11/16/19,10:56:04 PM,.jpg,676x960,,memes,screenshot
11/16/19,11:49:01 AM,.jpg,720x921,,memes,screenshot
11/16/19,11:48:44 AM,.jpg,626x662,,misc,screenshot
11/16/19,2:15:05 PM,.png,750x1334,,misc,screenshot
11/14/19,9:58:34 PM,.jpg,568x628,,memes,saved
11/15/19,1:15:52 AM,.png,750x1334,,something to remember,screenshot
11/14/19,10:08:50 PM,.heic,4032x3024,iphone 8,food,taken by phone
11/14/19,10:00:01 PM,.heic,4032x3024,iphone 8,food,taken by phone
11/14/19,9:59:59 PM,.heic,4032x3024,iphone 8,food,taken by phone
11/14/19,1:39:56 PM,.jpg,640x720,,memes,saved
11/14/19,6:29:47 PM,.heic,3024x4032,iphone 8,of a thing,taken by phone
11/14/19,1:47:00 PM,.png,750x1334,,something to remember,screenshot
11/14/19,2:51:19 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:51:17 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:51:08 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:50:58 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:50:55 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:50:54 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:50:52 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/14/19,2:50:50 AM,.heic,3024x4032,iphone 8,pets,taken by phone
11/13/19,7:40:01 PM,.jpg,480x480,,memes,saved
11/13/19,7:39:30 PM,.jpg,870x708,,memes,saved
11/13/19,7:38:00 PM,.jpg,664x844,,memes,saved
11/13/19,7:36:00 PM,.jpg,660x510,,misc,saved
11/13/19,7:21:32 PM,.jpg,640x853,,memes,saved
11/13/19,7:19:30 PM,.jpg,1079x1276,,memes,saved
11/13/19,8:49:26 PM,.png,750x1334,,something to remember,screenshot
11/13/19,8:55:27 AM,.jpg,1038x1845,,memes,screenshot
11/13/19,12:45:18 PM,.png,750x1334,,something to remember,screenshot
11/13/19,12:18:24 PM,.png,750x1334,,texts,screenshot
11/12/19,8:59:53 PM,.heic,4032x3024,iphone 8,misc,taken by phone
11/12/19,1:54:30 PM,.jpg,1080x1095,,memes,saved
11/12/19,12:13:57 AM,.jpg,720x960,,memes,saved
11/12/19,12:13:35 PM,.jpg,960x946,,memes,saved
11/12/19,12:12:30 AM,.jpg,960x934,,memes,saved
11/12/19,12:11:40 AM,.jpg,945x932,,memes,saved
11/11/19,10:50:33 PM,.jpg,750x714,,misc,saved
11/12/19,12:12:22 PM,.png,750x1334,,something to remember,screenshot
11/11/19,10:51:59 PM,.png,750x1334,,misc,screenshot
