date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/20/19,6:40:20 AM,.mp4,624x1232,,of a thing,taken by phone
11/19/19,4:30:31 PM,.png,1125x2436,,something to remember,screenshot
11/19/19,4:30:21 PM,.png,1125x2436,,something to remember,screenshot
11/19/19,2:13:58 PM,.png,1125x2436,,texts,screenshot
11/19/19,11:22:14 AM,.png,1125x2436,,something to remember,screenshot
11/18/19,3:26:46 PM,.png,1125x2436,,memes,screenshot
11/18/19,3:22:13 PM,.png,1125x2436,,pets,screenshot
11/18/19,12:48:44 PM,.png,2880x1800,,work related,screenshot
11/17/19,11:22:46 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:22:42 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:22:31 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:20:38 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:20:33 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:20:10 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:19:36 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:18:22 PM,.jpg,3024x4032,iphone xs,work related,taken by phone
11/17/19,11:02:16 PM,.png,1125x2436,,work related,screenshot
11/17/19,9:11:46 PM,.png,627x3153,,work related,saved
11/17/19,9:11:46 PM,.png,627x2749,,work related,saved
11/17/19,9:11:46 PM,.png,627x3028,,work related,saved
11/17/19,9:11:46 PM,.png,627x2503,,work related,saved
11/17/19,9:11:46 PM,.png,627x1507,,work related,saved
11/17/19,2:47:03 PM,.png,10651x6001,,work related,saved
11/17/19,2:46:52 PM,.png,627x3153,,work related,saved
11/17/19,12:47:01 PM,.jpg,4032x3024,iphone xs,work related,taken by phone
11/17/19,11:14:53 AM,.png,1125x2436,,references,screenshot
11/16/19,11:28:44 PM,.png,1125x2436,,misc,screenshot
11/16/19,6:30:10 PM,.png,1125x2436,,something to remember,screenshot
11/16/19,6:30:03 PM,.png,1125x2436,,something to remember,screenshot
11/16/19,6:13:33 PM,.png,1125x2436,,something to remember,screenshot
11/16/19,12:35:32 AM,.png,626x1782,,work related,saved
11/15/19,3:19:15 PM,.jpg,3024x4032,iphone xs,of a thing,taken by phone
11/15/19,2:32:03 PM,.jpg,4032x3024,iphone xs,of a thing,taken by phone
11/15/19,2:31:56 PM,.jpg,4032x3024,iphone xs,of a thing,taken by phone
11/15/19,2:31:55 PM,.jpg,4032x3024,iphone xs,of a thing,taken by phone
11/15/19,2:31:53 PM,.jpg,4032x3024,iphone xs,of a thing,taken by phone
11/15/19,2:31:50 PM,.jpg,4032x3024,iphone xs,of a thing,taken by phone
11/15/19,11:54:25 AM,.jpg,1124x1318,,something to remember,screenshot
11/15/19,8:24:46 AM,.mp4,886x1920,,work related,screenshot
11/15/19,8:09:07 AM,.mp4,886x1920,,work related,screenshot
11/15/19,5:25:56 AM,.mp4,886x1920,,work related,screenshot
11/15/19,5:15:45 AM,.mp4,886x1920,,work related,screenshot
11/15/19,5:08:53 AM,.mp4,886x1920,,work related,screenshot
11/15/19,4:12:09 AM,.mp4,886x1920,,work related,screenshot
11/15/19,4:05:02 AM,.mp4,886x1920,,work related,screenshot
11/15/19,3:30:34 AM,.mp4,886x1920,,work related,screenshot
11/15/19,3:29:47 AM,.mp4,886x1920,,work related,screenshot
11/15/19,3:28:54 AM,.mp4,886x1920,,work related,screenshot
11/15/19,1:50:28 AM,.mp4,886x1920,,work related,screenshot
11/15/19,12:57:52 AM,.mp4,886x1920,,work related,screenshot
11/15/19,12:57:25 AM,.mp4,886x1920,,work related,screenshot
11/14/19,8:42:30 PM,.mov,1920x1080,iphone xs,work related,taken by phone
11/14/19,4:40:11 AM,.mp4,886x1920,,work related,screenshot
11/14/19,4:39:32 AM,.mp4,886x1920,,work related,screenshot
11/14/19,1:45:13 AM,.jpg,1124x1106,,references,screenshot
11/13/19,11:55:44 PM,.mp4,886x1920,,work related,screenshot
11/13/19,8:33:05 PM,.png,1125x2436,,texts,screenshot
11/13/19,11:50:40 AM,.jpg,1124x910,,memes,screenshot
11/13/19,11:20:33 AM,.png,1125x2436,,something to remember,screenshot
11/13/19,3:19:27 AM,.mp4,886x1920,,work related,screenshot
11/12/19,6:45:23 PM,.jpg,558x1280,iphone xs,pets,screenshot
11/12/19,6:45:14 PM,.jpg,558x1280,iphone xs,pets,screenshot
11/12/19,6:45:09 PM,.jpg,558x1280,iphone xs,pets,screenshot
11/12/19,3:28:49 PM,.jpg,3024x4032,iphone xs,memes,taken by phone
11/11/19,10:25:22 PM,.png,1125x2436,,something to remember,saved
11/11/19,5:50:41 PM,.png,1125x2436,,memes,screenshot
11/11/19,5:44:09 PM,.jpg,3024x4032,iphone xs,misc,taken by phone
11/11/19,8:28:39 AM,.jpg,3024x4032,iphone xs,something to remember,taken by phone
11/11/19,8:11:35 AM,.png,1125x2436,,something to remember,screenshot
11/11/19,12:30:47 AM,.jpg,2316x3088,iphone xs,work related,taken by phone
11/11/19,12:30:37 AM,.jpg,2316x3088,iphone xs,work related,taken by phone
11/10/19,10:45:36 PM,.jpg,3024x4032,iphone xs,something to remember,taken by phone
11/10/19,10:12:53 PM,.jpg,3024x4032,iphone xs,references,taken by phone
11/10/19,10:12:47 PM,.jpg,3024x4032,iphone xs,references,taken by phone
11/10/19,4:15:15 PM,.png,1125x2436,,something to remember,screenshot
11/10/19,4:14:50 PM,.png,1125x2436,,something to remember,screenshot
11/10/19,2:51:25 PM,.jpg,3024x4032,iphone xs,something to remember,taken by phone
11/10/19,2:37:29 PM,.jpg,3024x4032,iphone xs,of a thing,taken by phone
11/10/19,2:32:26 PM,.jpg,3024x4032,iphone xs,of a thing,taken by phone
11/10/19,2:28:22 PM,.jpg,3024x4032,iphone xs,of a thing,taken by phone
11/10/19,2:27:54 PM,.jpg,3024x4032,iphone xs,of a thing,taken by phone
11/10/19,2:27:50 PM,.jpg,3024x4032,iphone xs,of a thing,taken by phone
11/10/19,2:25:35 PM,.jpg,2316x3088,iphone xs,selfie,taken by phone
11/10/19,11:32:07 AM,.png,1125x2436,,something to remember,screenshot
11/10/19,11:31:56 AM,.png,3024x4032,,something to remember,screenshot
11/09/19,12:16:26 AM,.png,1125x2436,,something to remember,screenshot
11/09/19,12:15:15 AM,.png,1125x2436,,something to remember,screenshot
11/09/19,12:09:21 AM,.png,1125x2436,,memes,screenshot
11/08/19,11:32:08 PM,.jpg,2786x912,iphone xs,misc,taken by phone
11/08/19,6:25:46 PM,.png,1125x2436,,memes,screenshot
11/08/19,4:32:11 PM,.heic,3024x4032,iphone xs,references,taken by phone
11/08/19,3:16:46 PM,.mov,1080x1920,iphone xs,of someone else,taken by phone
11/08/19,3:16:09 AM,.heic,3024x4032,iphone xs,of someone else,taken by phone
11/07/19,11:04:20 PM,.png,1125x2436,,misc,screenshot
11/07/19,11:07:16 AM,.png,1125x2436,,something to remember,screenshot
11/06/19,4:22:02 PM,.png,1125x2436,,misc,screenshot
11/01/19,8:14:18 PM,.heic,3024x4032,iphone xs,of someone else,taken by phone
11/01/19,8:14:14 PM,.heic,3024x4032,iphone xs,of someone else,taken by phone
11/01/19,5:06:37 PM,.jpg,1236x1770,,misc,saved
11/01/19,4:45:35 PM,.jpg,1365x1518,,misc,saved
