date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/20/19,2:24:04 AM,.jpg,3973x2979,google pixel 2,work related,taken by phone
11/19/19,9:20:44 PM,.jpg,564x564,,references,saved
11/19/19,9:20:04 PM,.png,1080x1920,,references,saved
11/19/19,8:26:29 PM,.jpg,720x1280,,references,saved
11/19/19,8:17:28 PM,.jpg,736x736,,references,saved
11/19/19,8:14:26 PM,.jpg,480x480,,references,saved
11/19/19,8:12:03 PM,.jpg,713x713,,references,saved
11/19/19,9:14:36 PM,.jpg,3024x4032,google pixel 2,work related,taken by phone
11/19/19,6:58:55 PM,.jpg,3024x4032,google pixel 2,work related,taken by phone
11/19/19,6:58:49 PM,.jpg,3024x4032,google pixel 2,work related,taken by phone
11/18/19,8:20:12 PM,.jpg,700x615,,memes,saved
11/18/19,5:10:04 PM,.jpg,1080x1091,,memes,saved
11/18/19,4:42:37 PM,.jpg,736x1047,,references,saved
11/18/19,4:42:35 PM,.jpg,736x1047,,references,saved
11/18/19,4:42:35 PM,.jpg,736x1047,,references,saved
11/18/19,4:42:23 PM,.jpg,483x725,,references,saved
11/18/19,4:33:14 PM,.jpg,736x736,,references,saved
11/18/19,4:32:26 PM,.jpg,400x400,,references,saved
11/18/19,4:32:26 PM,.jpg,736x736,,references,saved
11/18/19,4:21:33 PM,.jpg,200x167,,references,saved
11/18/19,4:21:33 PM,.jpg,483x354,,references,saved
11/18/19,12:58:19 PM,.jpg,1200x1600,,of someone else,taken by phone
11/18/19,12:58:19 PM,.jpg,1536x2048,,of someone else,taken by phone
11/18/19,12:58:16 PM,.jpg,1200x1600,,of someone else,taken by phone
11/18/19,12:57:15 PM,.jpg,750x630,,memes,saved
11/18/19,12:08:15 PM,.jpg,3024x4032,google pixel 2,something to remember,taken by phone
11/18/19,12:00:34 AM,.jpg,625x960,,references,saved
11/17/19,11:56:48 PM,.jpg,564x680,,references,saved
11/17/19,11:56:20 PM,.jpg,736x1025,,references,saved
11/17/19,11:56:20 PM,.jpg,443x675,,references,saved
11/17/19,9:39:59 PM,.jpg,736x1057,,references,saved
11/17/19,9:39:57 PM,.jpg,735x518,,references,saved
11/17/19,9:39:49 PM,.jpg,736x1116,,references,saved
11/17/19,9:34:16 PM,.jpg,563x836,,references,saved
11/17/19,9:33:24 PM,.jpg,647x900,,references,saved
11/17/19,9:33:08 PM,.jpg,640x989,,references,saved
11/17/19,9:33:08 PM,.jpg,736x872,,references,saved
11/17/19,8:10:18 PM,.jpg,581x800,,references,saved
11/17/19,8:10:18 PM,.jpg,700x700,,references,saved
11/17/19,8:10:18 PM,.jpg,640x905,,references,saved
11/17/19,8:10:11 PM,.jpg,680x982,,references,saved
11/17/19,8:05:23 PM,.jpg,736x933,,references,saved
11/17/19,8:03:09 PM,.jpg,736x992,,references,saved
11/17/19,8:03:00 PM,.jpg,500x679,,references,saved
11/17/19,7:48:25 PM,.jpg,500x664,,references,saved
11/17/19,7:48:24 PM,.jpg,736x1104,,references,saved
11/17/19,5:00:26 PM,.jpg,533x800,,references,saved
11/17/19,4:50:43 PM,.jpg,720x720,,references,saved
11/17/19,4:40:40 PM,.jpg,736x484,,references,saved
11/17/19,4:14:35 PM,.jpg,375x484,,references,saved
11/17/19,4:14:11 PM,.jpg,720x1052,,references,saved
11/17/19,4:13:37 PM,.jpg,400x372,,references,saved
11/17/19,4:13:03 PM,.jpg,333x500,,references,saved
11/17/19,3:55:42 PM,.jpg,736x736,,references,saved
11/17/19,3:33:06 PM,.jpg,736x1244,,references,saved
11/17/19,3:32:46 PM,.jpg,736x1405,,references,saved
11/17/19,3:30:37 PM,.jpg,562x637,,references,saved
11/17/19,3:30:37 PM,.jpg,735x939,,references,saved
11/17/19,12:15:01 AM,.jpg,3024x4032,,work related,taken by phone
11/16/19,5:26:14 PM,.jpg,570x694,,references,saved
11/16/19,2:04:14 PM,.jpg,736x736,,references,saved
11/16/19,2:04:14 PM,.jpg,736x736,,references,saved
11/16/19,2:04:14 PM,.jpg,570x570,,references,saved
11/16/19,2:03:59 PM,.jpg,500x827,,references,saved
11/16/19,2:03:59 PM,.jpg,400x400,,references,saved
11/16/19,1:55:47 PM,.jpg,257x209,,references,saved
11/16/19,1:55:47 PM,.jpg,700x700,,references,saved
11/16/19,1:54:53 PM,.jpg,600x449,,references,saved
11/16/19,1:53:14 PM,.jpg,500x748,,references,saved
11/16/19,6:44:51 PM,.jpg,2544x4032,google pixel 2,work related,taken by phone
11/15/19,3:20:36 PM,.jpg,3024x4032,google pixel 2,of a thing,taken by phone
11/15/19,3:10:48 PM,.jpg,3024x4032,google pixel 2,of a thing,taken by phone
11/14/19,10:20:51 PM,.jpg,500x333,,references,saved
11/14/19,10:19:44 PM,.jpg,735x491,,references,saved
11/14/19,10:19:44 PM,.jpg,497x750,,references,saved
11/14/19,10:19:26 PM,.jpg,736x747,,references,saved
11/14/19,10:19:25 PM,.jpg,737x920,,references,saved
11/14/19,10:19:25 PM,.jpg,736x736,,references,saved
11/14/19,10:19:25 PM,.jpg,735x891,,references,saved
11/14/19,10:19:25 PM,.jpg,736x1104,,references,saved
11/14/19,10:18:27 PM,.jpg,700x700,,references,saved
11/14/19,10:18:27 PM,.jpg,736x736,,references,saved
11/14/19,10:18:27 PM,.jpg,445x718,,references,saved
11/14/19,10:10:56 PM,.jpg,735x918,,references,saved
11/13/19,7:42:07 PM,.jpg,600x600,,references,saved
11/13/19,7:42:07 PM,.jpg,595x800,,references,saved
11/13/19,7:42:03 PM,.jpg,314x400,,references,saved
11/13/19,7:42:03 PM,.jpg,600x600,,references,saved
11/13/19,7:42:03 PM,.jpg,450x600,,references,saved
11/13/19,6:40:29 PM,.jpg,640x425,,references,saved
11/13/19,5:43:47 PM,.jpg,720x900,,references,saved
11/13/19,5:33:10 PM,.jpg,736x736,,references,saved
11/13/19,5:32:29 PM,.jpg,500x296,,references,saved
11/13/19,5:31:31 PM,.jpg,736x1112,,references,saved
11/13/19,5:31:31 PM,.jpg,736x1309,,references,saved
11/13/19,5:31:31 PM,.jpg,640x800,,references,saved
11/13/19,5:31:31 PM,.jpg,736x736,,references,saved
11/13/19,1:47:45 PM,.jpg,500x685,,references,saved
11/13/19,1:37:03 PM,.jpg,736x899,,references,saved
11/13/19,1:33:02 PM,.jpg,480x640,,references,saved
