date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/20/19,11:28:30 PM,.mp4,720x1280,,food,taken by phone
11/20/19,6:27:48 PM,.jpg,636x168,,texts,screenshot
11/20/19,6:27:41 PM,.jpg,828x425,,texts,screenshot
11/20/19,11:26:21 PM,.mp4,640x640,,memes,saved
11/20/19,11:26:00 PM,.mp4,720x1280,,work related,taken by phone
11/20/19,11:25:57 PM,.mp4,480x848,,of someone else,taken by phone
11/20/19,11:24:59 PM,.mp4,720x1280,,of someone else,taken by phone
11/20/19,11:24:56 PM,.mp4,720x1280,,of someone else,taken by phone
11/20/19,11:24:54 PM,.mp4,720x1280,,of someone else,taken by phone
11/20/19,11:24:54 PM,.mp4,720x1280,,of someone else,taken by phone
11/20/19,11:24:52 PM,.mp4,720x1280,,food,taken by phone
11/20/19,11:24:51 PM,.mp4,720x1280,,food,taken by phone
11/20/19,11:24:48 PM,.mp4,720x1280,,food,taken by phone
11/20/19,6:04:58 PM,.jpg,828x1792,,texts,screenshot
11/20/19,4:48:13 AM,.jpg,900x1600,,of someone else,taken by phone
11/19/19,11:47:48 PM,.jpg,1536x2048,iphone xr,selfie,taken by phone
11/19/19,10:54:19 PM,.jpg,1536x2731,iphone xr,of someone else,taken by phone
11/19/19,9:23:38 PM,.jpg,828x1792,,something to remember,screenshot
11/19/19,9:23:34 PM,.jpg,828x1792,,something to remember,screenshot
11/19/19,8:47:23 PM,.jpg,1024x768,,misc,saved
11/19/19,8:47:23 PM,.jpg,1024x768,,misc,saved
11/19/19,6:03:56 PM,.jpg,828x1792,,memes,screenshot
11/19/19,5:50:10 PM,.jpg,739x1600,,of phone owner,screenshot
11/19/19,5:05:01 PM,.jpg,828x1792,,texts,screenshot
11/19/19,5:03:33 PM,.jpg,739x1600,,selfie,screenshot
11/19/19,4:53:57 PM,.jpg,828x1792,,of someone else,screenshot
11/19/19,4:51:08 PM,.jpg,828x1792,,of someone else,screenshot
11/19/19,3:15:32 PM,.jpg,828x1792,,memes,screenshot
11/19/19,3:15:17 PM,.jpg,739x1600,,memes,screenshot
11/19/19,2:47:50 PM,.jpg,1536x2048,iphone xr,work related,taken by phone
11/19/19,12:34:24 PM,.jpg,739x1600,,selfie,screenshot
11/19/19,12:26:56 PM,.jpg,1536x2732,iphone xr,selfie,taken by phone
11/19/19,12:07:52 PM,.jpg,739x1600,,of someone else,screenshot
11/19/19,11:57:19 AM,.jpg,739x1600,,of phone owner,screenshot
11/19/19,11:52:47 AM,.jpg,1536x2731,iphone xr,food,taken by phone
11/19/19,11:29:45 AM,.jpg,828x1792,,misc,screenshot
11/19/19,11:11:13 AM,.jpg,739x1600,,pets,screenshot
11/19/19,10:56:58 AM,.jpg,828x1792,,memes,screenshot
11/19/19,8:54:51 AM,.jpg,785x981,,memes,screenshot
11/19/19,8:54:26 AM,.jpg,794x992,,memes,screenshot
11/19/19,7:35:48 PM,.jpg,739x1600,,of phone owner,screenshot
11/19/19,1:37:07 AM,.jpg,828x1792,,memes,screenshot
11/19/19,1:04:16 AM,.jpg,780x1040,,misc,saved
11/19/19,1:03:26 AM,.jpg,780x1040,,misc,saved
11/18/19,4:39:57 PM,.jpg,828x1792,,texts,screenshot
11/18/19,3:03:59 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/18/19,1:36:35 PM,.jpg,828x1792,,misc,screenshot
11/18/19,1:20:09 PM,.jpg,828x1792,,of someone else,screenshot
11/18/19,1:10:16 PM,.jpg,792x1056,,of a thing,saved
11/18/19,12:47:31 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/18/19,12:47:25 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/18/19,12:46:44 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/18/19,9:57:54 AM,.jpg,720x1280,,references,saved
11/18/19,12:18:48 AM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,11:32:23 PM,.jpg,780x1040,,something to remember,saved
11/17/19,11:31:15 PM,.jpg,488x1040,,of a thing,taken by phone
11/17/19,11:31:15 PM,.jpg,488x1040,,of a thing,taken by phone
11/17/19,11:31:14 PM,.jpg,911x668,,of a thing,saved
11/17/19,11:31:14 PM,.jpg,1036x492,,of a thing,taken by phone
11/17/19,11:31:14 PM,.jpg,1036x492,,of a thing,taken by phone
11/17/19,11:29:48 PM,.jpg,1036x492,,of a thing,taken by phone
11/17/19,11:29:48 PM,.jpg,1036x492,,of a thing,taken by phone
11/17/19,11:29:47 PM,.jpg,1036x492,,of a thing,taken by phone
11/17/19,11:29:16 PM,.jpg,780x1040,,of a thing,taken by phone
11/17/19,11:29:15 PM,.jpg,780x1040,,of a thing,taken by phone
11/17/19,10:43:46 PM,.jpg,828x1782,,something to remember,screenshot
11/17/19,8:57:17 PM,.jpg,1536x2048,iphone xr,selfie,taken by phone
11/17/19,8:22:22 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:14:55 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:11:18 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:09:50 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:08:38 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:06:04 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:05:49 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:05:37 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:05:08 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:04:59 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:04:50 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:04:43 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:04:35 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,8:03:56 PM,.jpg,1536x2731,iphone xr,of a thing,taken by phone
11/17/19,7:58:23 PM,.jpg,828x1792,,texts,screenshot
11/17/19,5:55:18 PM,.jpg,828x1792,,texts,screenshot
11/17/19,4:45:30 PM,.jpg,739x1600,,of phone owner,screenshot
11/17/19,4:29:37 PM,.jpg,750x998,,of someone else,saved
11/17/19,3:52:13 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,3:29:16 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,3:29:10 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,3:10:59 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,3:01:47 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,2:56:00 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,2:55:56 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,2:20:21 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,2:20:13 PM,.jpg,1536x2048,iphone xr,of a thing,taken by phone
11/17/19,2:17:20 PM,.jpg,828x1792,,of a thing,screenshot
