date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/20/19,7:29:13 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,7:27:19 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,7:27:18 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,7:09:28 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,7:09:26 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,7:09:25 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,6:10:10 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,6:06:12 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,6:06:10 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/20/19,6:06:07 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,12:11:54 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:52 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:44 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:43 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:23 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:21 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:15 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:11:14 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,12:10:59 PM,.heic,2320x3088,iphone 7,selfie,taken by phone
11/19/19,11:51:47 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,11:51:39 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:24 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:23 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:23 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:17 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:17 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:14 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:12 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:52:10 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:28:31 AM,.heic,4032x3024,iphone 7,work related,taken by phone
11/19/19,10:28:24 AM,.heic,4032x3024,iphone 7,work related,taken by phone
11/19/19,10:12:31 AM,.heic,4032x3024,iphone 7,work related,taken by phone
11/19/19,10:12:24 AM,.heic,4032x3024,iphone 7,work related,taken by phone
11/19/19,10:16:16 AM,.heic,4032x3024,iphone 7,work related,taken by phone
11/19/19,10:12:13 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/19/19,10:12:04 AM,.heic,4032x3024,iphone 7,work related,taken by phone
11/19/19,9:58:43 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/18/19,7:46:50 PM,.jpg,3024x4032,iphone 7,work related,taken by phone
11/18/19,6:24:38 PM,.heic,3024x4032,iphone 7,something to remember,taken by phone
11/17/19,1:29:54 PM,.jpg,673x371,,memes,screenshot
11/17/19,3:17:27 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,3:17:25 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,3:17:20 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:54:52 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:54:49 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:54:40 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:54:24 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:49:16 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:49:14 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:49:14 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:44:33 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:44:31 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:26:40 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/17/19,2:26:38 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/16/19,2:41:54 PM,.png,750x1334,,lock screen,screenshot
11/14/19,10:58:23 PM,.jpg,750x1334,,selfie,saved
11/14/19,3:44:24 PM,.jpg,1574x2100,iphone 7,work related,taken by phone
11/14/19,3:44:22 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:42:19 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:42:06 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:42:03 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:42:00 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:41:36 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:41:36 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:41:33 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:41:22 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:41:21 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:17:08 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:17:05 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:16:36 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,3:16:34 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:54:38 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:54:36 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:54:38 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:40:36 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:40:31 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:40:10 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:40:08 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,2:40:05 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,11:50:56 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,11:50:56 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,11:50:49 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,11:41:33 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,11:41:30 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/14/19,11:41:05 AM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,8:05:25 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,8:05:23 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,8:05:22 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,8:05:21 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,8:05:16 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,8:04:50 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,7:48:38 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,7:48:33 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,7:29:10 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,7:29:09 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/13/19,11:21:45 AM,.heic,3024x4032,iphone 7,of a thing,taken by phone
11/13/19,11:18:32 AM,.heic,3024x4032,iphone 7,of a thing,taken by phone
11/13/19,11:18:29 AM,.heic,3024x4032,iphone 7,of a thing,taken by phone
11/13/19,11:18:20 AM,.heic,3024x4032,iphone 7,of a thing,taken by phone
11/13/19,11:07:18 AM,.heic,3024x4032,iphone 7,of a thing,taken by phone
