date taken,capture time,type,dimensions,capture,keyword: content,keyword: type
11/10/19,3:14:30 AM,.jpg,622x401,,memes,saved
11/21/19,2:36:23 AM,.mp4,720x1280,iphone 7,of someone else,taken by phone
11/21/19,2:36:21 AM,.mp4,720x1280,iphone 7,of someone else,taken by phone
11/21/19,2:36:20 AM,.mp4,720x1280,iphone 7,of someone else,taken by phone
11/21/19,2:36:19 AM,.mp4,720x1280,iphone 7,of someone else,taken by phone
11/21/19,2:36:17 AM,.mp4,720x1280,iphone 7,of someone else,taken by phone
11/20/19,1:58:14 AM,.jpg,867x727,,memes,saved
11/19/19,12:26:28 PM,.png,750x1334,,texts,screenshot
11/19/19,1:04:24 AM,.jpg,750x1334,iphone 7,of someone else,taken by phone
11/16/19,9:54:16 PM,.jpg,750x1334,iphone 7,of someone else,taken by phone
11/16/19,7:03:41 AM,.jpg,1920x1080,,memes,screenshot
11/16/19,12:09:47 AM,.jpg,353x1045,,memes,saved
11/15/19,12:53:00 PM,.png,750x1334,,selfie,saved
11/14/19,12:16:20 PM,.png,750x1334,,texts,screenshot
11/13/19,1:43:52 PM,.jpg,6600x10200,,something to remember,saved
11/13/19,1:18:18 PM,.jpg,6600x10200,,something to remember,saved
11/13/19,1:22:33 PM,.png,750x1334,,texts,screenshot
11/13/19,1:21:32 PM,.png,750x1334,,texts,screenshot
11/12/19,5:47:43 PM,.jpg,874x1346,,something to remember,saved
11/12/19,7:52:38 PM,.png,750x1334,,texts,screenshot
11/12/19,7:18:06 PM,.png,750x1334,,something to remember,screenshot
11/12/19,7:17:59 PM,.png,750x1334,,something to remember,screenshot
11/12/19,7:06:55 PM,.jpg,1650x2550,,something to remember,saved
11/12/19,4:16:45 PM,.heic,3024x4032,iphone 7,misc,taken by phone
11/12/19,9:23:49 AM,.png,750x1334,,something to remember,screenshot
11/12/19,12:21:20 AM,.png,750x1334,,misc,screenshot
11/11/19,6:45:23 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/11/19,6:44:18 PM,.heic,3024x4032,iphone 7,work related,taken by phone
11/11/19,12:33:20 PM,.jpg,1024x768,,something to remember,saved
11/10/19,5:34:04 PM,.png,750x1334,,texts,screenshot
11/10/19,5:33:59 PM,.png,750x1334,,texts,screenshot
11/09/19,1:46:23 PM,.png,750x1334,,something to remember,screenshot
11/09/19,12:02:05 PM,.jpg,750x1334,,something to remember,screenshot
11/08/19,12:08:28 PM,.png,750x1334,,something to remember,screenshot
11/07/19,6:51:30 PM,.png,750x1334,,misc,screenshot
11/06/19,8:24:46 PM,.jpg,1600x1600,iphone 7,something to remember,taken by phone
11/04/19,10:34:00 AM,.png,750x133,,memes,screenshot
11/03/19,1:09:46 AM,.heic,3024x4032,iphone 7,references,taken by phone
11/02/19,12:16:43 PM,.jpg,750x1334,iphone 7,of someone else,taken by phone
11/01/19,3:26:19 PM,.png,750x1334,,lock screen,screenshot
11/01/19,1:52:10 AM,.jpg,750x1334,iphone 7,of someone else,taken by phone
